Id_pagina_ex;frases;Qtd
93;UOL Entrevista Deltan Dallagnol vê equívoco de Moro por ida a ministério;1
93;Ricardinho do vôlei 'Giba era sempre o bom moço. Tive que ser o vilão';1
93;Na quarentena Mulheres se reconectam com a autoestima;1
93;UOL meu negócio;1
93;MEU NEGÓCIO NÃO PARA Conheça a iniciativa que apoia o pequeno empreendedor a sair da crise;1
93;MEU NEGÓCIO NÃO PARA Dicas rápidas para promover seu negócio na internet;1
93;UOL Play Assista à série The Handmaids Tale: O Conto da Aia, no Paramount+;1
93;UOL Play Todas as temporadas de The Walking Dead, no FOX Premium;1
93;UOL Esporte Clube O Futebol Espanhol está de volta!;1
93;UOL Curso de Inglês;1
93;Empurrãozinho Uol Curso de Inglês Agora ficou mais fácil falar inglês;1
93;UOL Pós-Graduação;1
93;MBA em Liderança Com Cris Arcangeli. COMECE JÁ.;1
93;Preparatório para MPU Vagas para analista e técnico.Salários até R$11.345;1
93;Portal Educação Profissionalizantes e Pós Saiba Mais!;1
93;Sobre o UOL;1
93;Conheça nossa história;1
93;Denuncie;1
93;Fale conosco;1
93;Imprensa;1
93;Segurança e privacidade;1
93;Carreiras;1
93;Para Você;1
93;PagBank;1
93;Tenha um email @uol;1
93;Antivírus;1
93;UOL Wi-Fi;1
93;Assistência técnica;1
93;PlayKids;1
93;Curso de Inglês;1
93;Cursos online;1
93;Go4Gold;1
93;Para seu negócio;1
93;Anuncie no UOL;1
93;Cloud Computing;1
93;Crie seu blog;1
93;Crie seu site;1
93;Crie sua loja virtual;1
93;Dicas para o seu negócio;1
93;Email marketing;1
93;Email profissional;1
93;Hospedagem;1
93;Moderninha;1
93;PagSeguro;1
93;Registre um domínio;1
93;Aplicativos;1
93;UOL Cotações;1
93;Guia UOL;1
93;UOL Notícias;1
93;Placar UOL;1
93;Meu UOL;1
93;Errata;1
93;Comunicar erro;1
93;UOL;1
93;Em entrevista nesta terça-feira, presidente disse que foi infectado pelo coronavírus;1
93;O que dizem as leis sobre isolamento social para pacientes com covid-19;1
93;Temer diz que Mourão está entrosado com Bolsonaro;1
93;Novos posts dos seus blogs preferidos vão aparecer com destaque na home do UOL em um espaço com a sua cara;1
93;Bruna Marquezine viraliza ao mostrar casa de 890 m²;1
93;Sou tímida, diz Dua Lipa em fotos de biquíni com namorado;1
93;Arthur Aguiar x Mayra Cardi: como romance acabou em briga;1
93;Mia Khalifa mostra resultado de cirurgia plástica no nariz;1
93;Kourtney Kardashian explica saída de reality: 'Tóxico';1
93;Ex de Felipe Araújo diz que foi maltratada por Luciana Gimenez;1
93;Alterar lista;1
